,Facility,Population Served,Phone Number,Street Address,Ext.,City,County,ZIP Code,Contact Email,
GAAC00297,WRMC PHARMACY,Private,+1 (770) 267-8461,2151 WEST SPRING STREET,,MONROE,Walton,30655,RICHIE.SINCLAIR@PIEDMONT.ORG,
GAAC00897,FKC WALTON,Private,+1 (770) 266-7399,299 PLAZA DRIVE,,MONROE,Walton,30655,CHERYL.SMITH1@FMC-NA.COM,
GAAC01615,TWIN LAKES RECOERY CENTER,Private,+1 (770) 266-3726,398 HIGHWAY 11 SW,,MONROE,Walton,30655,DMANNS@TLRCENTER.COM,
GAA501123,LOGANVILLE FAMILY MEDICINE,Private,+1 (770) 466-8672,4589 LAWRENCEVILLE RD,,LOGANVILLE,Walton,30052,LOGFMED@GMAIL.COM,
GAA501123,LOGANVILLE FAMILY MEDICINE,Private,+1 (770) 466-8672,4593 LAWRENCEVILLE ROAD,,LOGANVILLE,Walton,30052,LOGFMED@GMAIL.COM,
GAAC01487,WALTON FAMILY MEDICINE,Private,+1 (770) 267-7093,521 GREAT OAKS DR,,MONROE,Walton,30655,ACOOPER@WALTONFAMILYMEDICINE.COM,
GAAC01497,WALTON COUNTY EMERGENCY MANAGEMENT AGENC,Private,+1 (770) 267-1483,725 S MADISON AVE.,,MONROE,Walton,30655,CARL.MORROW@CO.WALTON.GA.US,
GAA600635,DAVID A FIELDS MD FAMILY CARE,Private,+1 (770) 554-0399,96 TARA COMMONS DRIVE,,LOGANVILLE,Walton,30052,MWATERS@FIELDSFAMILYCARE.COM,
GAAC01951,CHRIST THE KING MEDICAL CENTER,Private,+1 (770) 554-8015,3531-3533 HIGHWAY 81 SOUTH,,LOGANVILLE,Walton,30052-4336,MAIL@CTKMEDCENTER.COM,
GAAC00556,FRESENIUS KIDNEY CARE LOGANVILLE DIALYSI,Private,+1 (678) 639-1633,3431 HWY 81 S,,LOGANVILLE,Walton,30052,TERRI.HATTON@FMC-NA.COM,
GAAC00292,TMB MEDICAL ASSOCIATES PC,Private,+1 (706) 548-9655,1181 LANGFORD DR,BLDG 200  STE 105,WATKINSVILLE,Oconee,30677,TMBOND@BELLSOUTH.NET,
GAAC00358,OCONEE PRIMARY CARE,Private,+1 (706) 310-1030,1624 MARS HILL ROAD,SUITE B,WATKINSVILLE,Oconee,30677,ASTEWART@OCONEEPRIMARYCAREATHENS.COM,
