prov_id,Facility,Population Served,Phone Number,Street Address,Ext.,City,County,ZIP Code,Contact Email,full_add,lon,lat
GAAC00297,WRMC PHARMACY,Private,+1 (770) 267-8461,2151 WEST SPRING STREET,NA,MONROE,Walton,30655,RICHIE.SINCLAIR@PIEDMONT.ORG,"2151 WEST SPRING STREET, MONROE, GA 30655",-83.7502902,33.7989051
GAAC00897,FKC WALTON,Private,+1 (770) 266-7399,299 PLAZA DRIVE,NA,MONROE,Walton,30655,CHERYL.SMITH1@FMC-NA.COM,"299 PLAZA DRIVE, MONROE, GA 30655",-83.7285056,33.7968975
GAAC01615,TWIN LAKES RECOERY CENTER,Private,+1 (770) 266-3726,398 HIGHWAY 11 SW,NA,MONROE,Walton,30655,DMANNS@TLRCENTER.COM,"398 HIGHWAY 11 SW, MONROE, GA 30655",-83.7018195,33.7239742
GAA501123,LOGANVILLE FAMILY MEDICINE,Private,+1 (770) 466-8672,4589 LAWRENCEVILLE RD,NA,LOGANVILLE,Walton,30052,LOGFMED@GMAIL.COM,"4589 LAWRENCEVILLE RD, LOGANVILLE, GA 30052",-83.8910717,33.8357276
GAA501123,LOGANVILLE FAMILY MEDICINE,Private,+1 (770) 466-8672,4593 LAWRENCEVILLE ROAD,NA,LOGANVILLE,Walton,30052,LOGFMED@GMAIL.COM,"4593 LAWRENCEVILLE ROAD, LOGANVILLE, GA 30052",-83.8910638,33.835728
GAAC01487,WALTON FAMILY MEDICINE,Private,+1 (770) 267-7093,521 GREAT OAKS DR,NA,MONROE,Walton,30655,ACOOPER@WALTONFAMILYMEDICINE.COM,"521 GREAT OAKS DR, MONROE, GA 30655",-83.7431134,33.7893815
GAAC01497,WALTON COUNTY EMERGENCY MANAGEMENT AGENC,Private,+1 (770) 267-1483,725 S MADISON AVE.,NA,MONROE,Walton,30655,CARL.MORROW@CO.WALTON.GA.US,"725 S MADISON AVE., MONROE, GA 30655",-83.7036761,33.7854049
GAA600635,DAVID A FIELDS MD FAMILY CARE,Private,+1 (770) 554-0399,96 TARA COMMONS DRIVE,NA,LOGANVILLE,Walton,30052,MWATERS@FIELDSFAMILYCARE.COM,"96 TARA COMMONS DRIVE, LOGANVILLE, GA 30052",-83.8765835,33.8197588
GAAC01951,CHRIST THE KING MEDICAL CENTER,Private,+1 (770) 554-8015,3531-3533 HIGHWAY 81 SOUTH,NA,LOGANVILLE,Walton,30052-4336,MAIL@CTKMEDCENTER.COM,"3531-3533 HIGHWAY 81 SOUTH, LOGANVILLE, GA 30052-4336",-83.876147,33.8212793
GAAC00556,FRESENIUS KIDNEY CARE LOGANVILLE DIALYSI,Private,+1 (678) 639-1633,3431 HWY 81 S,NA,LOGANVILLE,Walton,30052,TERRI.HATTON@FMC-NA.COM,"3431 HWY 81 S, LOGANVILLE, GA 30052",-83.8756941,33.8177764
GAAC00292,TMB MEDICAL ASSOCIATES PC,Private,+1 (706) 548-9655,1181 LANGFORD DR,BLDG 200  STE 105,WATKINSVILLE,Oconee,30677,TMBOND@BELLSOUTH.NET,"1181 LANGFORD DR, WATKINSVILLE, GA 30677",-83.4698565,33.9147381
GAAC00358,OCONEE PRIMARY CARE,Private,+1 (706) 310-1030,1624 MARS HILL ROAD,SUITE B,WATKINSVILLE,Oconee,30677,ASTEWART@OCONEEPRIMARYCAREATHENS.COM,"1624 MARS HILL ROAD, WATKINSVILLE, GA 30677",-83.4544764,33.8859334
GAA500155,MADISON FAMILY MEDICINE,Private,+1 (706) 342-1555-105,2002 SOUTH MAIN STREET,NA,MADISON,Morgan,30650-4621,TALLPAMELAHALL@GMAIL.COM,"2002 SOUTH MAIN STREET, MADISON, GA 30650-4621",-83.4798162,33.5836737
GAAC00259,ADAMS PRIMARY CARE PC,Private,+1 (706) 795-9588,25 NOMORA DRIVE,NA,DANIELSVILLE,Madison,30633,ADAMSPRIMARYCARE@WINDSTREAM.NET,"25 NOMORA DRIVE, DANIELSVILLE, GA 30633",-83.2212399,34.1236027
GAA501001,NORTHEAST GEORGIA PHYSICIANS GROUP JEFFE,Private,+1 (770) 848-5400,1689 OLD PENDERGRASS RD SUITE 340,NA,JEFFERSON,Jackson,30549,HALEY.BENTLEY@NGHS.COM,"1689 OLD PENDERGRASS RD SUITE 340, JEFFERSON, GA 30549",-83.6037908,34.1230199
GAA601291,NGPG WEST JACKSON,Private,+1 (706) 658-2452,26 W JACKSON COMMONS DR,NA,HOSCHTON,Jackson,30548,ASHTON.SHULER@NGHS.COM,"26 W JACKSON COMMONS DR, HOSCHTON, GA 30548",-83.7060892,34.1082852
