fulcrum_id,parcel_no,prop_add,prop_type_name,genprop,condition,comments,x,y,photo1,photo2,photo3,photo4,var,value
25969e10-4369-453c-ad8d-1b80be71a0ec,OC08   0009,144 KIRK LN,"Single family home, no garage",Occupied   ,well maintained,blank,-83.24883504,31.61169326,1afa8f3c-3867-4d42-a80b-2e00b4b86295,blank,blank,blank,foundation,found_notvis
3b7be0e6-ea7f-42f2-877c-3c5ea2957910,OC08   0010,140 KIRK LN,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.2484385,31.61165898,1b869223-27a7-43d5-9c21-39d2f9b937bb,blank,blank,blank,foundation,found_notvis
5e5e4aa4-1655-4df1-adb6-0edd03982458,OC14   0032,139 KIRK LN,"Single family home, attached garage",Occupied   ,minor repairs needed,blank,-83.24834881,31.61215931,f4ac1972-e9cf-4b5c-b778-592bf8fdd5b9,blank,blank,blank,foundation,found_notvis
8dd63c05-b9a5-4955-82c8-e889d01a3554,OC14   0031,135 KIRK LN,"Single family home, no garage",Occupied   ,sound,blank,-83.24798301,31.6121488,b1f5c785-0572-4844-b916-4bdf37b58ba3,blank,blank,blank,foundation,found_notvis
b0a84307-e075-4339-8a87-0c8d62f2b40f,OC14   0017,136 KIRK LN,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.2481619,31.61164833,ca8e893d-fe45-46f8-adc7-608cced997f8,blank,blank,blank,foundation,found_notvis
bf297927-1a87-4018-b4db-dff9c623c1a2,OC14   0018,132 KIRK LN,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.24788453,31.61164354,faaa0be0-59ad-4a5c-ab99-44131136ca94,blank,blank,blank,foundation,found_good
1e748d55-43da-43f7-b1dd-2804cbf80d02,OC14   0030,131 KIRK LN,"Single family home, attached garage",Occupied   ,sound,blank,-83.24767402,31.61214034,146075c0-4e6a-4143-8111-ad58d1bd171a,blank,blank,blank,foundation,found_cracked
56626d70-5a65-44fa-bc3b-f4037f8059fe,OC14   0019,128 KIRK LN,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.24756362,31.61163731,c99e171c-8575-4edd-b26b-3ec3c8a3df86,blank,blank,blank,foundation,found_notvis
937abf65-67df-4ec2-a264-06f497f05518,OC14   0020,124 KIRK LN,"Single family home, attached garage",Occupied   ,sound,blank,-83.24719048,31.6116319,8efbd741-70dd-4a4e-a64c-ac218f01aa16,blank,blank,blank,foundation,found_cracked
2d9c3d3f-2eea-44ad-b117-b0a8c34bb1f3,OC14   0028,114 KIRK LN,"Single family home, attached garage",Occupied   ,minor repairs needed,blank,-83.24674149,31.61211716,4c48e7a8-9402-477f-ae1f-ecb08b310f89,blank,blank,blank,foundation,found_notvis
b052600a-f26f-45ed-800a-a961de5a3d19,OC14   0021,108 KIRK LN,"Single family home, detached garage",Occupied   ,sound,blank,-83.24674985,31.61161965,1ab02d37-16ba-4c67-940c-aaecf145621f,blank,blank,blank,foundation,found_notvis
b6a0f7b3-1fbe-43ec-87eb-4687bbe6df31,OC14   0027,115 KIRK LN,"Single family home, attached garage",Occupied   ,sound,blank,-83.24624293,31.61210091,b2df1937-69ff-4237-b31a-f0801e8521ea,blank,blank,blank,foundation,found_good
f29396fd-046e-4bd0-b772-2dfb04d42457,OC14   0026,113 KIRK LN,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.24614382,31.61183542,5429af09-3be8-4730-b736-8cf0d5e092b5,blank,blank,blank,foundation,found_notvis
37968188-98ca-4910-b03a-f919d2494419,OC14   0022,109 KIRK LN,"Single family home, attached garage",Occupied   ,moderate rehabilitation needed,blank,-83.24613653,31.6115516,6babb658-870b-410c-89c1-07018cb4e657,blank,blank,blank,foundation,found_good
de824558-3dc3-4837-9cf6-046af6f3f2d5,OC14   0011,148 LAKEWOOD DR,"Single family home, attached garage",Occupied   ,sound,blank,-83.24617723,31.61120154,5f545d17-a61a-48c1-9485-4f7832cb9487,blank,blank,blank,foundation,found_good
e9e31c1c-ab44-4fef-bdf6-4084dc5f4833,OC14   0012,140 LAKEWOOD DR,"Single family home, detached garage",Occupied   ,moderate rehabilitation needed,blank,-83.24675577,31.61122321,8ea9a586-2e7c-4d20-8cfe-b5d93513b8e4,blank,blank,blank,foundation,found_notvis
40d86e21-bc65-40df-b6c5-28225d4a363b,OC14   0014,130 LAKEWOOD DR,"Single family home, attached garage",Occupied   ,sound,blank,-83.24753072,31.61124149,13569676-0ed6-4a07-a5a5-e37f1f67336c,blank,blank,blank,foundation,found_notvis
47bf081d-d421-468b-bc0f-f810b99c8b3b,OC08   0007,120 LAKEWOOD DR,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.24844606,31.61126663,38aa6c70-f765-49d3-95a9-09eeab312f56,blank,blank,blank,foundation,found_notvis
d68116a8-5453-4861-950f-a9e1bb1b715a,OC14   0016,124 LAKEWOOD DR,"Single family home, detached garage",Occupied   ,well maintained,blank,-83.24813231,31.61125761,6f88b65d-d269-4862-9d5c-d07fa20f12f5,blank,blank,blank,foundation,found_notvis
aa199fc2-6f42-48ad-a050-349fc4c073b9,OC14   0015,128 LAKEWOOD DR,"Single family home, attached garage",Occupied   ,sound,blank,-83.24785475,31.61124836,b09711b1-7b06-4ebf-8f15-28696bb007f5,blank,blank,blank,foundation,found_notvis
2d962950-6f38-4bf8-8794-2b28e0bc9e35,OC14   0013,136 LAKEWOOD DR,"Single family home, attached garage",Occupied   ,sound,blank,-83.24717707,31.61123583,123998dd-a8f7-4eb0-8013-90e14710885f,blank,blank,blank,foundation,found_notvis
0ae98139-3798-49e3-955b-f1dcc74a043c,OC14   0024,167 LAKEWOOD DR,"Single family home, attached garage",Occupied   ,moderate rehabilitation needed,blank,-83.24493972,31.61154297,64bcef3e-d3da-4f53-9f14-a0c1c6596f28,blank,blank,blank,foundation,found_cracked
b036cd8b-eee3-4cb9-bbfa-e54ce49fbfee,OC14   0009,159 LAKEWOOD DR,"Single family home, attached garage",Occupied   ,sound,blank,-83.24493233,31.61109689,82cbf6c1-a345-4bee-8894-45ce1fb3ca60,blank,blank,blank,foundation,found_notvis
d884f0d1-33c8-498c-a069-7acf7902a0c6,OC14   0008,157 LAKEWOOD DR,"Single family home, attached garage",Occupied   ,sound,blank,-83.24501582,31.61062722,d303019e-f5d4-4e18-b071-06f79baf933e,blank,blank,blank,foundation,found_notvis
54180f65-f065-477a-b77e-177d3dcc2ea6,OC14   0007,153 LAKEWOOD DR,"Single family home, attached garage",Occupied   ,minor repairs needed,blank,-83.24577981,31.6106143,603f3807-353c-4a94-bd69-8a1191404511,blank,blank,blank,foundation,found_notvis
523ddef0-0f10-476b-bfe6-b3cbfe2a9044,OC14   0023,166 LAKEWOOD DR,"Single family home, attached garage",Occupied   ,sound,blank,-83.24572231,31.61162022,ec638327-0190-46d3-958d-5aeff1429456,blank,blank,blank,foundation,found_notvis
e3d284ac-1a96-4143-a7a5-cdf86cbf5160,OC14   0010,152 LAKEWOOD DR,"Single family home, detached garage",Occupied   ,sound,blank,-83.24577565,31.6111856,c32bc0f7-46ca-454f-833d-ca266f891864,blank,blank,blank,foundation,found_notvis
